Temp,Vel,Atten,Visco,Dens
99.8055,3003.5904412858495,5.716626497865797,1.16765994975132,764.3900988190085
99.411,3003.7240060998997,5.814288150224567,1.173085186132603,764.665931600372
99.0245,3004.380045881384,5.620902015439927,1.1784422325993202,764.9361708145598
98.5995,3004.676365369399,5.645408430551831,1.1843811300494984,765.2333290707817
98.2205,3004.894140626359,5.664789429610075,1.1897202212185105,765.4983243157419
97.8315,3005.1731856572023,5.695658645175683,1.195242717392322,765.7703115196721
97.436,3005.5404085908326,5.536924826533172,1.2009020539924116,766.0468434969328
97.04650000000001,3006.207136562389,5.5912059427160266,1.2065198415189853,766.3191802988114
96.655,3006.1646733699486,5.628541437328887,1.2122111806015643,766.592915492484
96.2715,3006.531263414157,5.685538081877642,1.2178300642214812,766.8610571189807
95.888,3006.776942177165,5.691981912198867,1.22349272340751,767.1291987454775
95.5155,3007.111127784997,5.63378257973734,1.229035236673787,767.3896492171074
95.12549999999999,3007.6090230112636,5.629318287243579,1.2348831744737627,767.6623356169346
94.7565,3007.734041411242,5.664199965337907,1.2404590111001856,767.9203389029249
94.374,3008.2744696699165,5.621383865172409,1.24628314452443,768.1877813335246
93.993,3008.1808893500297,5.646427212570235,1.2521296656433776,768.4541749702789
93.6095,3008.7182612699276,5.597641226689924,1.2580605399750118,768.7223165967756
93.24799999999999,3009.190114814386,5.598930760830667,1.2636937982968441,768.9750759135384
92.8735,3009.186492533093,5.61826296709641,1.2695736328262779,769.2369247769623
92.49549999999999,3009.7213730680196,5.629149547015312,1.2755542186762492,769.5012208260255
92.155,3010.0203429133603,5.543222394747567,1.2809812219449423,769.7392970289516
91.764,3010.2063005863656,5.5532494588379935,1.2872599634809736,770.0126826246757
91.405,3010.524895789951,5.531034316106148,1.2930693284725638,770.2636939516962
91.048,3011.2163976367815,5.565647440288587,1.2988889297900674,770.5133068869226
90.69800000000001,3011.285244596168,5.538937015734495,1.3046360092527156,770.75802545087
90.316,3011.3852958130724,5.563911300012104,1.3109559371611852,771.0251182835212
89.982,3011.984603693172,5.563236992439849,1.3165226205111389,771.2586497131168
89.615,3011.852587120731,5.659945671143427,1.3226836655808247,771.5152546073132
89.24549999999999,3012.5325015993735,5.486670812099307,1.328934004685048,771.773607491252
88.8905,3012.5565509957632,5.607779813370933,1.3349841843415948,772.0218220346844
88.547,3012.9420821449853,5.599773255674216,1.3408808222100517,772.2619958253014
88.2045,3013.2332973784146,5.56307094398446,1.3468022104118706,772.5014704200215
87.839,3013.7115035906686,5.298525522033845,1.3531677963772322,772.7570265203724
87.497,3013.719161813867,5.604918559471521,1.3591680058470361,772.9961515171439
87.1455,3014.169420723866,5.531476711818211,1.3653794953884948,773.2419188749368
86.799,3014.5684784517857,5.55165176165976,1.3715472597258918,773.4841902532447
86.4675,3014.6100929330014,5.574271404765879,1.377489844428124,773.7159736930979
86.127,3014.9931756263577,5.617642501197424,1.383636697993206,773.9540498960239
85.7835,3015.235751322791,5.629026907267595,1.3898821577388563,774.194223686641
85.429,3015.7294175150655,5.549253631391537,1.3963748267114222,774.442088632125
85.0915,3016.0788341093057,5.47950334852991,1.4026010779158167,774.67806724736
84.7825,3016.152209063442,5.69692298903623,1.4083403104787353,774.8941187795307
84.44800000000001,3016.4765788711843,5.463763296157466,1.4145952636521324,775.1279998070748
84.101,3016.7110564163486,5.551090689899767,1.4211305841053545,775.3706207833313
83.7675,3016.8794892227793,5.593695150028476,1.4274567694756322,775.6038026149785
83.438,3017.227323419137,5.707953749024545,1.4337508758082567,775.8341876630375
83.1185,3017.3887601533106,5.742743151825675,1.4398958731304312,776.0575807521267
82.7725,3017.8375362104985,5.712841482260486,1.4465974764241307,776.2995025324861
82.46350000000001,3018.2107258236997,5.695537453389175,1.4526240176479637,776.5155540646568
82.1335,3018.4255151830494,5.51607040223602,1.459103811588853,776.7462887106645
81.799,3018.898239761216,5.647172524513406,1.4657183871693917,776.9801697382086
81.497,3018.8016747470915,5.645414793755825,1.4717307619546254,777.1913268991004
81.181,3019.0660556887865,5.526616457918981,1.4780633025869314,777.4122728025502
80.8665,3019.4067726082317,5.365490113491599,1.4844081994203733,777.6321699121545
80.5595,3019.6176642666273,5.556507567596105,1.490642924400973,777.8468230525311
80.229,3019.9035143258166,5.519154876082865,1.4974006938731643,778.0779072964873
79.91550000000001,3020.0463686562016,5.602584196700873,1.503855098630704,778.2971052101944
79.6045,3020.528030476378,5.468238159068047,1.5103009341640496,778.5145551341592
79.297,3020.634878524924,5.355736296044733,1.5167165738994146,778.7295578724845
79.003,3020.895956109438,5.540827084440859,1.5228902331838485,778.9351214662004
78.6925,3020.9646416681207,5.4084705799545345,1.5294528211723524,779.1522217922167
78.3875,3021.4980659530434,5.455435999716718,1.5359419508068373,779.3654765407995
78.06899999999999,3021.5595771985045,5.454503796976586,1.5427639309258114,779.5881704339916
77.79599999999999,3021.866778660552,5.52325541358076,1.5486487316405668,779.7790509138707
77.4985,3022.2408346871903,5.470083926760904,1.5551012565178715,779.9870616932261
77.1995,3022.580744069677,5.527538806719439,1.561628244229305,780.1961212664269
76.90899999999999,3022.5625615210356,5.491769736010195,1.568010252331635,780.3992376745033
76.589,3022.9512710954186,5.508039466672712,1.5750869971153465,780.622980361541
76.2895,3023.1497960746174,5.6402911472793935,1.581755045950466,780.8323895326903
76.01,3023.2520973441233,5.563041773629688,1.5880170746887972,781.0278147858997
75.727,3023.5441868255484,5.742047834888076,1.5943964291316786,781.2256872247488
75.446,3023.8137453805803,5.551051216619499,1.600769726309457,781.4221612718036
